S,"N = 1,000",Shortest time,,"N = 10,000",Shortest time,,"N = 100,000",Shortest time,,"N = 1,000,000",Shortest time,,"N = 10,000,000",Shortest time
0,0.00280776,#N/A,,0.03508906,#N/A,,0.43434764,#N/A,,5.87306304,#N/A,,75.2522259,#N/A
1,0.0027618,#N/A,,0.0335026,#N/A,,0.41221944,#N/A,,5.79504268,#N/A,,75.0649076,#N/A
2,0.00251554,#N/A,,0.0326311,#N/A,,0.39930388,#N/A,,5.39623636,#N/A,,72.07020658,#N/A
3,0.0025857,#N/A,,0.0311092,#N/A,,0.36779606,#N/A,,5.54292166,#N/A,,70.60087122,#N/A
4,0.00226508,#N/A,,0.03021384,#N/A,,0.36900656,#N/A,,5.28554178,#N/A,,69.59323898,#N/A
5,0.00229344,#N/A,,0.02750252,#N/A,,0.39398234,#N/A,,5.32063758,#N/A,,66.96257788,#N/A
6,0.0021093,#N/A,,0.0267789,#N/A,,0.3663288,#N/A,,5.1511878,#N/A,,66.3297372,#N/A
7,0.0020538,#N/A,,0.02817404,#N/A,,0.35952336,#N/A,,5.18165036,#N/A,,66.10471752,#N/A
8,0.0018555,0.0018555,,0.0279763,#N/A,,0.37171766,#N/A,,4.90299024,#N/A,,66.61245404,#N/A
9,0.0019413,#N/A,,0.02648788,#N/A,,0.37406194,#N/A,,5.06144242,#N/A,,65.58170594,#N/A
10,0.0019891,#N/A,,0.02503204,#N/A,,0.36676812,#N/A,,4.90942274,#N/A,,66.30645916,#N/A
11,0.00196894,#N/A,,0.02636588,#N/A,,0.37754758,#N/A,,4.95326864,#N/A,,64.9074878,#N/A
12,0.00200346,#N/A,,0.02450906,0.02450906,,0.36961478,#N/A,,4.92793566,#N/A,,65.15141438,#N/A
13,0.0019604,#N/A,,0.02662644,#N/A,,0.3519353,0.3519353,,5.14146018,#N/A,,64.9617935,#N/A
14,0.00238834,#N/A,,0.0260635,#N/A,,0.36578378,#N/A,,5.10143092,#N/A,,65.45188318,#N/A
15,0.00222062,#N/A,,0.02673356,#N/A,,0.379483,#N/A,,5.08306234,#N/A,,64.90406232,64.90406232
16,0.00224032,#N/A,,0.0268834,#N/A,,0.37831854,#N/A,,5.15920848,#N/A,,65.11354206,#N/A
17,0.00209648,#N/A,,0.02682458,#N/A,,0.3581499,#N/A,,5.09058936,#N/A,,65.44965782,#N/A
18,0.0022024,#N/A,,0.02692798,#N/A,,0.37629196,#N/A,,4.82923766,4.82923766,,65.33117964,#N/A
19,0.00205074,#N/A,,0.0287468,#N/A,,0.36989286,#N/A,,5.04216234,#N/A,,67.2413004,#N/A
20,0.0020394,#N/A,,0.02967762,#N/A,,0.36830668,#N/A,,4.90115818,#N/A,,67.3391753,#N/A
21,0.0020508,#N/A,,0.02925854,#N/A,,0.3610964,#N/A,,5.22403708,#N/A,,66.51391338,#N/A
22,0.00203098,#N/A,,0.02792314,#N/A,,0.37650524,#N/A,,4.99752544,#N/A,,66.75627262,#N/A
23,0.00201856,#N/A,,0.0263827,#N/A,,0.38442992,#N/A,,4.9279756,#N/A,,66.62620086,#N/A
24,0.00203508,#N/A,,0.02629884,#N/A,,0.39872964,#N/A,,5.09013008,#N/A,,66.47739292,#N/A
25,0.0020176,#N/A,,0.02829204,#N/A,,0.3890674,#N/A,,5.17191068,#N/A,,66.72558762,#N/A
26,0.00199452,#N/A,,0.02842258,#N/A,,0.38874944,#N/A,,5.16295096,#N/A,,66.60597412,#N/A
27,0.00205268,#N/A,,0.0287458,#N/A,,0.39675194,#N/A,,4.94097412,#N/A,,66.87957744,#N/A
28,0.00208604,#N/A,,0.02975576,#N/A,,0.4109293,#N/A,,5.05261394,#N/A,,65.98155598,#N/A
29,0.00201616,#N/A,,0.0283279,#N/A,,0.40228528,#N/A,,5.0589108,#N/A,,66.10852898,#N/A
30,0.0019685,#N/A,,0.028156,#N/A,,0.40086404,#N/A,,5.22370958,#N/A,,66.38413188,#N/A
31,0.00201816,#N/A,,0.02808688,#N/A,,0.39811736,#N/A,,5.45644886,#N/A,,66.34963796,#N/A
32,0.00205192,#N/A,,0.0291318,#N/A,,0.40486778,#N/A,,5.38931194,#N/A,,80.95481072,#N/A
33,0.00215976,#N/A,,0.0281323,#N/A,,0.40697064,#N/A,,5.37483728,#N/A,,99.14381134,#N/A
34,0.0021316,#N/A,,0.02721408,#N/A,,0.38601422,#N/A,,5.48318228,#N/A,,100.3004697,#N/A
35,0.00227072,#N/A,,0.02912902,#N/A,,0.39346676,#N/A,,5.59470572,#N/A,,99.17971724,#N/A
36,0.00237314,#N/A,,0.02574906,#N/A,,0.37905626,#N/A,,5.61647308,#N/A,,97.8963643,#N/A
37,0.00238238,#N/A,,0.0265685,#N/A,,0.37950408,#N/A,,5.57074372,#N/A,,98.33383558,#N/A
38,0.00243244,#N/A,,0.02711766,#N/A,,0.38105636,#N/A,,5.59182714,#N/A,,108.3985786,#N/A
39,0.00240212,#N/A,,0.03300978,#N/A,,0.37992766,#N/A,,5.3987436,#N/A,,163.754977,#N/A
40,0.00240298,#N/A,,0.03325694,#N/A,,0.38058728,#N/A,,5.43987778,#N/A,,108.0425223,#N/A
