S,Insertion Sort,MergeSort
0,12.55,6.65
1,20.15,43.55
2,50.75,87.75
3,45.7,146.5
4,55.2,170.1
5,67.4,198.3
6,105.15,332.95
7,133.55,399.85
8,131.1,341.35
9,144.3,377.75
10,217.65,545.3
11,258.05,615.55
12,223.75,542.75
13,255.7,561.8
14,286.55,645.85
15,373.05,784.65
16,358.25,716.55
17,439.85,930.95
18,423.45,815.5
19,469.55,858.95
20,594.8,1074
21,557.2,967.4
22,732.25,1231.25
23,732.6,1166.65
24,752.15,1127.4
25,957.4,1435.55
26,1217.85,1650.85
27,1329.65,1849.2
28,1603.7,2201.45
29,1326.2,1956.45
30,2076.55,2572.95
31,1237.2,1711.75
32,1589,2133.45
33,1483.35,1800.55
34,1552.7,1991.55
35,1407.15,1777.1
36,1966.65,2259.45
37,2120.1,2383
38,2078.75,2384.4
39,2080.15,2351.15
40,1812.05,2068.4
41,1942.6,2069.65
42,2168.85,2217.05
43,2225.85,2169.1
44,2202.4,2226.95
45,2321.75,2302.6
46,2410.65,2372.55
47,2520.85,2361.75
48,2558.15,2486.4
49,2830.55,2521.25
50,2758.75,2534.25
51,3360.25,3102.45
52,4308.6,4021.05
53,4372.9,3737.7
54,3324.6,2826.15
55,3866.3,3218.8
56,3650.7,3192.2
57,4257.9,3641.9
58,3611.05,3128.2
59,3939.4,3085.4
60,4006.8,3229.6
61,4511.9,3599.6
62,4276.35,3387.05
63,4616.3,3509
64,4919,3555.05
65,4752.3,3543.4
66,4798.8,3510.25
67,4953.9,3554.9
68,4905,3658.8
69,5350.5,3911.5
70,5642.65,4439.55
71,7146.8,4263.45
72,6784.2,4386.05
73,6498.85,4257.25
74,6035.6,4108.7
75,8896.1,4841.6
76,6598.6,4212.55
77,9883.7,5679.05
78,7269.05,4503.1
79,7228.85,4691.45
80,6799.65,4440.5
81,7311.75,4500.95
82,7390.6,4495.05
83,7491.8,4651.9
84,7795.1,4628.2
85,8258.25,4994.95
86,8077.4,4712.45
87,8183.45,4893.55
88,8698.4,4799.1
89,8787.2,5161.3
90,11402.25,6016.8
91,9359.5,5146.55
92,9116.55,5092.6
93,9244.2,5089.9
94,9343.3,5202.05
95,9678.95,5361.55
96,10085.85,5341.85
97,10235,5622.65
98,10117.25,5515.3
99,11952.2,6615.25
